fish_id,group,dpf,session_minutes,n_scored_events,n_abnormal_events,n_severe_events,n_whirlpool_events,n_convulsion_events,event_seconds,manual_pts_stage_observed,dlc_mean_speed_mm_s,dlc_max_speed_mm_s,dlc_mean_tail_bend_deg,dlc_max_tail_bend_deg,dlc_mean_keypoint_likelihood,dlc_tracking_qc_pass,dlc_abnormal_event_rate_per_min,dlc_severe_event_rate_per_min,dlc_whirlpool_rate_per_min,dlc_convulsion_rate_per_min,dlc_rest_fraction,dlc_behavior_abnormality_index
LZTBI-0046,tbi_low,4,5.0,1.0,0.0,0.0,0.0,0.0,0.831,0.0,7.04,15.92,23.81,38.86,0.9462,True,0.0,0.0,0.0,0.0,0.99723,0.0
LZTBI-0046,tbi_low,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0046,tbi_low,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0047,tbi_high,4,5.0,4.0,4.0,3.0,1.0,2.0,13.144,3.0,40.8875,116.8,65.8925,165.71,0.9574,True,0.8,0.6,0.2,0.4,0.9561866666666666,1.8
LZTBI-0047,tbi_high,5,5.0,3.0,0.0,0.0,0.0,0.0,1.982,0.0,9.953333333333333,33.55,24.80333333333333,82.96,0.9672333333333333,True,0.0,0.0,0.0,0.0,0.9933933333333334,0.0
LZTBI-0047,tbi_high,6,5.0,3.0,2.0,2.0,1.0,1.0,9.062999999999999,3.0,29.836666666666662,81.97,49.669999999999995,165.41,0.9583333333333334,True,0.4,0.4,0.2,0.2,0.96979,1.2
LZTBI-0048,tbi_high,4,5.0,2.0,2.0,0.0,0.0,0.0,4.625,1.0,34.425,66.5,33.92,116.07,0.9647,True,0.4,0.0,0.0,0.0,0.9845833333333334,0.266667
LZTBI-0048,tbi_high,5,5.0,1.0,1.0,0.0,0.0,0.0,1.762,1.0,27.18,45.11,20.15,48.01,0.9809,True,0.2,0.0,0.0,0.0,0.9941266666666667,0.166667
LZTBI-0048,tbi_high,6,5.0,2.0,1.0,0.0,0.0,0.0,1.05,1.0,16.2,42.56,30.655,114.03,0.9722999999999999,True,0.2,0.0,0.0,0.0,0.9965,0.166667
LZTBI-0049,tbi_low,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0049,tbi_low,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0049,tbi_low,6,5.0,1.0,0.0,0.0,0.0,0.0,0.206,0.0,12.88,24.27,21.2,39.66,0.948,True,0.0,0.0,0.0,0.0,0.9993133333333334,0.0
LZTBI-0050,tbi_moderate,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0050,tbi_moderate,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0051,sham,4,5.0,1.0,0.0,0.0,0.0,0.0,0.381,0.0,10.6,16.21,10.96,27.07,0.9475,True,0.0,0.0,0.0,0.0,0.99873,0.0
LZTBI-0051,sham,5,5.0,1.0,0.0,0.0,0.0,0.0,0.719,0.0,14.49,23.35,26.92,47.94,0.9461,True,0.0,0.0,0.0,0.0,0.9976033333333333,0.0
LZTBI-0051,sham,6,5.0,2.0,2.0,1.0,1.0,0.0,9.462,2.0,29.630000000000003,68.72,57.345,131.61,0.9598,True,0.4,0.2,0.2,0.0,0.96846,0.733333
LZTBI-0052,tbi_low,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0052,tbi_low,5,5.0,2.0,0.0,0.0,0.0,0.0,1.625,0.0,9.815,25.62,19.61,74.54,0.96635,True,0.0,0.0,0.0,0.0,0.9945833333333334,0.0
LZTBI-0052,tbi_low,6,5.0,1.0,1.0,1.0,1.0,0.0,2.156,2.0,63.07,92.31,51.64,136.65,0.9632,True,0.2,0.2,0.2,0.0,0.9928133333333333,0.633333
LZTBI-0053,tbi_high,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0053,tbi_high,5,5.0,1.0,1.0,1.0,1.0,0.0,2.813,2.0,69.25,108.25,65.41,102.06,0.969,True,0.2,0.2,0.2,0.0,0.9906233333333333,0.633333
LZTBI-0053,tbi_high,6,5.0,6.0,5.0,4.0,3.0,1.0,19.494,3.0,50.03666666666667,103.37,55.00333333333333,159.68,0.9657666666666667,True,1.0,0.8,0.6,0.2,0.93502,2.3
LZTBI-0054,tbi_moderate,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0054,tbi_moderate,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0054,tbi_moderate,6,5.0,3.0,2.0,1.0,1.0,0.0,7.5120000000000005,2.0,29.48,61.89,30.099999999999998,129.63,0.9629,True,0.4,0.2,0.2,0.0,0.97496,0.733333
LZTBI-0055,tbi_low,4,5.0,1.0,0.0,0.0,0.0,0.0,0.794,0.0,10.81,17.07,22.14,82.26,0.9716,True,0.0,0.0,0.0,0.0,0.9973533333333333,0.0
LZTBI-0055,tbi_low,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0055,tbi_low,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0056,tbi_moderate,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0056,tbi_moderate,5,5.0,2.0,2.0,2.0,0.0,2.0,10.332,3.0,48.425,104.3,68.595,177.29,0.94445,True,0.4,0.4,0.0,0.4,0.96556,1.2
LZTBI-0056,tbi_moderate,6,5.0,2.0,2.0,0.0,0.0,0.0,4.561999999999999,1.0,20.015,39.03,50.815,111.07,0.9702999999999999,True,0.4,0.0,0.0,0.0,0.9847933333333333,0.266667
LZTBI-0057,tbi_high,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0057,tbi_high,5,5.0,3.0,3.0,3.0,2.0,1.0,18.369,3.0,49.45333333333334,106.27,69.55333333333333,171.97,0.9788333333333332,True,0.6,0.6,0.4,0.2,0.93877,1.7
LZTBI-0057,tbi_high,6,5.0,3.0,1.0,1.0,0.0,1.0,8.863000000000001,3.0,19.103333333333335,112.61,40.86333333333334,149.63,0.9665666666666667,True,0.2,0.2,0.0,0.2,0.9704566666666666,0.7
LZTBI-0058,sham,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0058,sham,5,5.0,1.0,0.0,0.0,0.0,0.0,0.406,0.0,9.12,20.09,18.12,75.94,0.983,True,0.0,0.0,0.0,0.0,0.9986466666666667,0.0
LZTBI-0058,sham,6,5.0,1.0,1.0,0.0,0.0,0.0,2.056,1.0,37.02,69.96,33.07,66.13,0.9503,True,0.2,0.0,0.0,0.0,0.9931466666666666,0.166667
LZTBI-0059,sham,4,5.0,1.0,0.0,0.0,0.0,0.0,0.425,0.0,6.74,15.25,12.62,52.84,0.9512,True,0.0,0.0,0.0,0.0,0.9985833333333334,0.0
LZTBI-0059,sham,5,5.0,2.0,1.0,0.0,0.0,0.0,3.019,1.0,21.52,57.43,23.85,88.34,0.96495,True,0.2,0.0,0.0,0.0,0.9899366666666667,0.166667
LZTBI-0059,sham,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0060,tbi_moderate,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0060,tbi_moderate,5,5.0,1.0,1.0,0.0,0.0,0.0,2.344,1.0,47.25,91.0,44.44,87.39,0.961,True,0.2,0.0,0.0,0.0,0.9921866666666667,0.166667
LZTBI-0060,tbi_moderate,6,5.0,1.0,0.0,0.0,0.0,0.0,0.613,0.0,12.58,31.45,26.5,32.25,0.9547,True,0.0,0.0,0.0,0.0,0.9979566666666667,0.0
LZTBI-0061,tbi_high,4,5.0,1.0,1.0,0.0,0.0,0.0,2.525,1.0,24.1,48.33,42.01,65.43,0.9696,True,0.2,0.0,0.0,0.0,0.9915833333333334,0.166667
LZTBI-0061,tbi_high,5,5.0,2.0,1.0,0.0,0.0,0.0,3.3810000000000002,1.0,23.695,60.7,20.5,112.24,0.9615,True,0.2,0.0,0.0,0.0,0.98873,0.166667
LZTBI-0061,tbi_high,6,5.0,1.0,0.0,0.0,0.0,0.0,0.531,0.0,4.72,12.27,27.66,31.35,0.9822,True,0.0,0.0,0.0,0.0,0.99823,0.0
LZTBI-0062,tbi_low,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0062,tbi_low,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0062,tbi_low,6,5.0,1.0,0.0,0.0,0.0,0.0,0.644,0.0,12.46,34.19,32.84,82.57,0.966,True,0.0,0.0,0.0,0.0,0.9978533333333334,0.0
LZTBI-0063,sham,4,5.0,1.0,0.0,0.0,0.0,0.0,0.45,0.0,6.18,9.65,14.9,55.61,0.9815,True,0.0,0.0,0.0,0.0,0.9985,0.0
LZTBI-0063,sham,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0064,sham,4,5.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0,5.95,14.08,31.02,79.58,0.9588,True,0.0,0.0,0.0,0.0,0.9973333333333333,0.0
LZTBI-0064,sham,5,5.0,1.0,1.0,0.0,0.0,0.0,3.281,1.0,37.71,71.56,47.9,80.41,0.9525,True,0.2,0.0,0.0,0.0,0.9890633333333333,0.166667
LZTBI-0064,sham,6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
