fish_id,group,batch,clutch_id,plate_id,n_weight_drops,measured_peak_pressure_kpa,cumulative_pressure_burden_kpa_hits,last_observed_dpf,n_lfp_sessions,became_epileptic,first_seizure_hours,high_burden_state_dpf6_TRUTH,survived_to_6dpf,max_manual_baraban_stage_observed,is_synthetic
LZTBI-0121,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,0,,0,True,1,False
LZTBI-0122,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,0,,0,True,1,False
LZTBI-0123,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,0,,0,True,1,False
LZTBI-0124,tbi_low,2,CL04,P02,1,114.0,114.0,6,3,0,,0,True,0,False
LZTBI-0125,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,1,,1,True,3,False
LZTBI-0126,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,0,,0,True,1,False
LZTBI-0127,tbi_low,2,CL04,P02,1,114.0,114.0,6,3,0,,0,True,1,False
LZTBI-0128,tbi_moderate,2,CL04,P02,1,214.9,214.9,6,3,1,,1,True,3,False
LZTBI-0129,tbi_low,2,CL04,P02,1,114.0,114.0,6,3,0,,0,True,2,False
LZTBI-0130,sham,2,CL04,P02,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0131,sham,2,CL04,P02,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0132,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,1,,1,True,3,False
LZTBI-0133,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,1,,1,True,3,False
LZTBI-0134,tbi_high,2,CL04,P02,1,313.9,313.9,6,3,1,,1,True,3,False
LZTBI-0135,tbi_low,2,CL04,P02,1,114.0,114.0,6,3,1,,1,True,2,False
LZTBI-0136,sham,2,CL04,P02,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0137,tbi_low,2,CL04,P02,1,114.0,114.0,6,3,0,,0,True,0,False
